Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Property_Area,Fahrzeugwert,leasingrate,label
Male,No,0,Graduate,No,5849,0,36,Urban,65318.4,680.4,No Risk
Male,Yes,1,Graduate,No,4583,1508,36,Rural,65318.4,680.4,No Risk
Male,Yes,0,Graduate,Yes,3000,0,36,Urban,48498.912,505.1969999999999,No Risk
Male,Yes,0,Not Graduate,No,2583,2358,36,Urban,61235.99999999999,637.8749999999999,No Risk
Male,No,0,Graduate,No,6000,0,36,Urban,71952.3,749.5031250000001,No Risk
Male,Yes,2,Graduate,Yes,5417,4196,36,Urban,49050.036,510.937875,No Risk
Male,Yes,0,Not Graduate,No,2333,1516,36,Urban,48478.5,504.984375,No Risk
Male,Yes,3+,Graduate,No,3036,2504,36,Semiurban,48376.44,503.92125,No Risk
Male,Yes,2,Graduate,No,4006,1526,36,Urban,51438.240000000005,535.815,No Risk
Male,Yes,1,Graduate,No,12841,10968,36,Semiurban,64114.092,667.855125,No Risk
Male,Yes,2,Graduate,No,3200,700,36,Urban,51438.240000000005,535.815,No Risk
Male,Yes,2,Graduate,No,2500,1840,36,Urban,55622.7,579.403125,No Risk
Male,Yes,2,Graduate,No,3073,8106,36,Urban,61235.99999999999,637.8749999999999,No Risk
Male,No,0,Graduate,No,1853,2840,36,Rural,58174.2,605.9812499999999,Risk
Male,No,0,Graduate,No,4950,0,36,Urban,63787.5,664.453125,No Risk
Male,No,1,Not Graduate,No,3596,0,24,Urban,51030.0,531.5625,No Risk
Female,No,0,Graduate,No,3510,0,36,Urban,64638.0,673.3125,No Risk
Male,Yes,0,Not Graduate,No,4887,0,36,Rural,67869.9,706.978125,No Risk
Male,Yes,0,Graduate,No,2600,3500,36,Urban,58684.49999999999,611.2968749999999,No Risk
Male,Yes,0,Not Graduate,No,7660,0,36,Urban,53071.2,552.825,No Risk
Male,Yes,1,Graduate,No,5955,5625,36,Urban,57868.01999999999,602.7918749999999,No Risk
Male,Yes,0,Not Graduate,No,2600,1911,36,Semiurban,59194.8,616.6125,No Risk
Male,Yes,2,Not Graduate,No,3365,1917,36,Rural,57153.59999999999,595.3499999999999,No Risk
Male,Yes,1,Graduate,No,3717,2925,36,Semiurban,46233.17999999999,481.5956249999999,No Risk
Male,Yes,0,Graduate,Yes,9560,0,36,Semiurban,58480.37999999999,609.1706249999999,No Risk
Male,Yes,0,Graduate,No,2799,2253,36,Semiurban,62256.59999999999,648.5062499999999,No Risk
Male,Yes,2,Not Graduate,No,4226,1040,36,Urban,56132.99999999999,584.7187499999999,No Risk
Male,No,0,Not Graduate,No,1442,0,36,Urban,71442.0,744.1875,Risk
Female,No,2,Graduate,No,3750,2083,36,Semiurban,61235.99999999999,637.8749999999999,No Risk
Male,Yes,1,Graduate,No,4166,3369,36,Urban,61542.17999999998,641.0643749999998,No Risk
Male,No,0,Graduate,No,3167,0,36,Urban,62937.0,655.59375,No Risk
Male,No,1,Graduate,Yes,4692,0,36,Rural,54091.8,563.4562500000001,No Risk
Male,Yes,0,Graduate,No,3500,1667,36,Semiurban,58174.2,605.9812499999999,No Risk
Male,No,3+,Graduate,No,12500,3000,36,Rural,58786.55999999999,612.3599999999999,No Risk
Male,Yes,0,Graduate,No,2275,2067,36,Urban,65318.4,680.4,Risk
Male,Yes,0,Graduate,No,1828,1330,36,Urban,51030.0,531.5625,Risk
Female,Yes,0,Graduate,No,3667,1459,36,Semiurban,73483.20000000001,765.4500000000002,No Risk
Male,No,0,Graduate,No,4166,7210,36,Urban,56337.12,586.8449999999999,No Risk
Male,No,0,Not Graduate,No,3748,1668,36,Semiurban,56132.99999999999,584.7187499999999,No Risk
Male,No,0,Graduate,No,3600,0,36,Urban,68040.0,708.75,No Risk
Male,No,0,Graduate,No,1800,1213,36,Urban,57561.83999999998,599.6024999999998,Risk
Male,Yes,0,Graduate,No,2400,0,36,Urban,63787.5,664.453125,Risk
Male,Yes,0,Graduate,No,3941,2336,36,Semiurban,68380.20000000001,712.2937500000002,No Risk
Male,Yes,0,Not Graduate,Yes,4695,0,36,Urban,48988.8,510.3,Risk
Female,No,0,Graduate,No,3410,0,36,Urban,44906.4,467.775,No Risk
Male,Yes,1,Graduate,No,5649,0,36,Urban,53887.67999999999,561.3299999999999,No Risk
Male,Yes,0,Graduate,No,5821,0,36,Urban,73483.20000000001,765.4500000000002,No Risk
Female,Yes,0,Graduate,No,2645,3440,36,Urban,61235.99999999999,637.8749999999999,No Risk
Female,No,0,Graduate,No,4000,2275,36,Semiurban,73483.20000000001,765.4500000000002,No Risk
Female,Yes,0,Not Graduate,No,1928,1644,36,Semiurban,51030.0,531.5625,Risk
Female,No,0,Graduate,No,3086,0,36,Semiurban,61235.99999999999,637.8749999999999,No Risk
Female,No,0,Graduate,No,4230,0,36,Semiurban,57153.59999999999,595.3499999999999,No Risk
Male,Yes,2,Graduate,No,4616,0,36,Urban,68380.20000000001,712.2937500000002,No Risk
Female,Yes,1,Graduate,Yes,11500,0,36,Urban,52540.488,547.29675,No Risk
Male,Yes,2,Graduate,No,2708,1167,36,Semiurban,49499.100000000006,515.615625,No Risk
Male,Yes,0,Graduate,No,2132,1591,36,Semiurban,48988.8,510.3,No Risk
Male,Yes,0,Graduate,No,3366,2200,36,Rural,68890.5,717.609375,No Risk
Male,Yes,1,Graduate,No,8080,2250,36,Urban,55112.4,574.0875,No Risk
Male,Yes,2,Not Graduate,No,3357,2859,36,Urban,73483.20000000001,765.4500000000002,No Risk
Male,Yes,0,Graduate,No,2500,3796,36,Urban,61235.99999999999,637.8749999999999,Risk
Male,Yes,3+,Graduate,No,3029,0,36,Urban,50519.7,526.246875,No Risk
Male,Yes,1,Graduate,No,4945,0,36,Rural,65318.4,680.4,No Risk
Female,No,0,Graduate,No,4166,0,36,Semiurban,59194.8,616.6125,No Risk
Male,Yes,0,Graduate,No,5726,4595,36,Semiurban,47396.664,493.71525,No Risk
Male,Yes,1,Graduate,No,10750,0,36,Urban,57316.89599999999,597.0509999999999,No Risk
Female,No,0,Graduate,No,4300,0,36,Semiurban,69400.8,722.9250000000001,No Risk
Male,Yes,0,Graduate,No,3208,3066,36,Urban,52662.96,548.5725,No Risk
Male,Yes,2,Not Graduate,Yes,1875,1875,36,Semiurban,49499.100000000006,515.615625,Risk
Male,No,0,Graduate,No,3500,0,30,Semiurban,68890.5,717.609375,No Risk
Male,Yes,3+,Not Graduate,No,4755,0,36,Semiurban,48478.5,504.984375,No Risk
Male,Yes,3+,Graduate,Yes,5266,1774,36,Semiurban,57255.65999999999,596.4131249999999,No Risk
Male,No,0,Graduate,No,3750,0,48,Urban,57663.89999999999,600.6656249999999,No Risk
Male,No,0,Graduate,No,3750,4750,36,Urban,53887.67999999999,561.3299999999999,No Risk
Male,Yes,1,Graduate,Yes,1000,3022,36,Urban,56132.99999999999,584.7187499999999,Risk
Male,Yes,3+,Graduate,No,3167,4000,30,Semiurban,55112.4,574.0875,No Risk
Male,Yes,3+,Not Graduate,Yes,3333,2166,36,Semiurban,66339.0,691.03125,No Risk
Female,No,0,Graduate,No,3846,0,36,Semiurban,56643.3,590.034375,No Risk
Male,Yes,1,Graduate,Yes,2395,0,36,Semiurban,65318.4,680.4,Risk
Female,Yes,2,Graduate,No,1378,1881,36,Urban,51132.06,532.625625,Risk
Male,Yes,0,Graduate,No,6000,2250,36,Semiurban,48682.62,507.110625,No Risk
Male,Yes,1,Graduate,No,3988,0,24,Urban,61235.99999999999,637.8749999999999,No Risk
Male,No,0,Graduate,No,2366,2531,36,Semiurban,69400.8,722.9250000000001,Risk
Male,Yes,2,Not Graduate,No,3333,2000,36,Semiurban,50519.7,526.246875,No Risk
Male,Yes,0,Graduate,No,2500,2118,36,Semiurban,53071.2,552.825,No Risk
Male,No,0,Graduate,No,8566,0,36,Urban,64297.8,669.7687500000001,No Risk
Male,Yes,0,Graduate,No,5695,4167,36,Semiurban,53581.5,558.140625,No Risk
Male,Yes,0,Graduate,No,2958,2900,36,Semiurban,66849.3,696.3468750000001,No Risk
Male,Yes,2,Not Graduate,No,3273,1820,36,Urban,68890.5,717.609375,No Risk
Male,No,0,Graduate,No,4133,0,36,Semiurban,62256.59999999999,648.5062499999999,No Risk
Male,No,0,Graduate,No,6782,0,36,Urban,65318.4,680.4,No Risk
Female,Yes,0,Graduate,No,2484,2302,36,Semiurban,69911.1,728.240625,Risk
Male,Yes,0,Graduate,No,1977,997,36,Semiurban,61235.99999999999,637.8749999999999,Risk
Male,Yes,0,Graduate,No,1759,3541,36,Semiurban,66849.3,696.3468750000001,Risk
Male,No,0,Graduate,No,4843,3806,36,Semiurban,46233.17999999999,481.5956249999999,No Risk
