carname,price,milage,hubraum,fuel_type,transmission,num_seats,num_doors,emission_class,car_type,num_owners,Model,power_ps,age
Mercedes-Benz Sprinter II Kasten 214 CDI Klima Erste Hand !,16950.0,198245.0,2.143,Diesel,Schaltgetriebe,3,4/5,Euro6,van,1,Sprinter,143.0,4.246666666666594
Mercedes-Benz GLB 220 d 4M Progressive AHK Distr HUD 360° Pano,60490.0,10529.0,1.95,Diesel,Automatik,5,4/5,Euro6d,suv,1,GLB,190.0,1.4133333333332605
Mercedes-Benz A 200 7G*1.HAND*LED*NAVI*LEDER*KAMERA*KEYLESS,24990.0,91205.0,1.332,Benzin,Automatik,5,4/5,Euro6d,limousine,1,A-Klasse,136.0,2.4966666666665938
Mercedes-Benz C 180 *CABRIO*AMG LINE*9G*2.HAND*LED*KEYLESS*,31990.0,84925.0,1.595,Benzin,Automatik,4,2/3,Euro6,cabrio,2,C-Klasse,156.0,4.746666666666594
Mercedes-Benz A 180 7G*1.HAND*LED*NAVI*LEDER*KAMERA*KEYLESS,24990.0,91205.0,1.332,Benzin,Automatik,5,4/5,Euro6d,limousine,1,A-Klasse,136.0,2.4966666666665938
Mercedes-Benz E 220 d 4Matic Distronic LED KAMERA COMAND,28890.0,163609.0,1.95,Diesel,Automatik,5,4/5,Euro6c,kombi,1,E-Klasse,194.0,4.16333333333326
Mercedes-Benz E 400 d 4Matic T-Mod. Distronic - AHK - Kamera !,36295.0,100620.0,2.925,Diesel,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,340.0,3.0799999999999272
Mercedes-Benz GLE Coupe350d AMG-LINE HUD PANORAMA LUFTFEDERUNG,59000.0,62400.0,2.987,Diesel,Automatik,5,4/5,Euro6,sport,1,E-Klasse,258.0,2.4133333333332607
Mercedes-Benz E 350 d T-Mod. AMG Distronic ~Kamera ~Wide ~HUD,45450.0,66002.0,2.925,Diesel,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,286.0,1.8299999999999272
Mercedes-Benz CLA 250e AMG+MBUX+DISTR+MULTIB+PANO+360°+NIGHT++,48800.0,100000.0,2.996,Benzin,Automatik,5,4/5,Euro6,sport,1,CLA,333.0,3.6633333333332607
Mercedes-Benz GLE 400 d 4M AMG Line/E-ACTIVE BODY CONTROL/AHK,48910.0,10650.0,1.332,Hybrid,Automatik,5,4/5,Euro6d,sport,1,GLE,160.0,1.0799999999999272
Mercedes-Benz GLE 400 d 4M. AMG Multibeam 360 Pan AHK Ass Burm,43290.0,8350.0,1.332,Hybrid,Automatik,5,4/5,Euro6d,limousine,1,GLE,160.0,1.0799999999999272
Mercedes-Benz S -Klasse Coupe S 63 AMG 4Matic+,41880.0,83947.0,2.143,Diesel,Automatik,5,4/5,Euro6,van,1,S-Klasse,190.0,4.246666666666594
"Mercedes-Benz Vito 114 CDI Kasten LANG NAVI,KAMERA,TRENNWAND",25880.0,82856.0,2.143,Diesel,Automatik,2,4/5,Euro6,van,1,Vito,163.0,3.6633333333332607
Mercedes-Benz Mercedes-Benz CLA 250 AMG-Volleder-Night-L...,28480.0,22851.0,2.143,Diesel,Automatik,3,4/5,Euro6,van,1,CLA,136.0,3.9966666666665938
Mercedes-Benz C 220 T d 4Matic AVANTGARDE LED AHK NAVI So + Wi,28480.0,22851.0,2.143,Diesel,Automatik,3,4/5,Euro6,van,1,C-Klasse,136.0,3.9966666666665938
"Mercedes-Benz E 250 HEAD-UP,KAMERA,WIDESCREEN,DISTRONIC,COMAND",23440.0,125000.0,2.143,Diesel,Automatik,3,4/5,Euro6,van,1,E-Klasse,136.0,3.6633333333332607
Mercedes-Benz Mercedes-Benz Typ E 200 Limosine Bauj.2019...,42780.0,143981.0,2.143,Diesel,Automatik,7,4/5,Euro6,van,1,E-Klasse,190.0,3.5799999999999272
Mercedes-Benz C 63 AMG T Navi LED Memory Pano Distron Garantie,32970.0,87000.0,2.143,Diesel,Automatik,5,4/5,Euro6,suv,1,C-Klasse,170.0,4.746666666666594
Mercedes-Benz B 180 CDI /d..Keylss-Go.LED..NAVI..1 JAHR GARANT,37880.0,80000.0,1.991,Benzin,Automatik,5,4/5,Euro6,limousine,1,B-Klasse,381.0,4.329999999999927
Mercedes-Benz A 200 d Kompaktlimousine Progressive LED Navi,46800.0,66757.0,3.982,Benzin,Automatik,5,4/5,Euro6,kombi,2,A-Klasse,476.0,3.6633333333332607
Mercedes-Benz GLS 350 d 4M-7 SITZER-AIRMATIC-DISTRONIC-360-AHK,37880.0,80000.0,1.991,Benzin,Automatik,5,4/5,Euro6,limousine,1,GLS,381.0,4.329999999999927
Mercedes-Benz GLS 400 d 4M AMG MBUX+AHK+Distronic+Widescreen+,46800.0,66757.0,3.982,Benzin,Automatik,5,4/5,Euro6,kombi,2,GLS,476.0,3.6633333333332607
Mercedes-Benz B -Klasse B 220 d AMG Line,33800.0,149000.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,B-Klasse,194.0,3.1633333333332607
"Mercedes-Benz A 250 Sport AMG-Line+19""AMG LM+LED+Navi+SHZ+..",19990.0,50000.0,1.461,Diesel,Automatik,5,4/5,Euro6,van,2,A-Klasse,109.0,3.4133333333332607
Mercedes-Benz SLC 300 AMG Line*Distr*LED*MSky*Comand*Night*RFK,33950.0,17246.0,1.95,Diesel,Automatik,5,4/5,Euro6,limousine,1,SL,150.0,0.996666666666594
"Mercedes-Benz T-C250BlueTEC,Autom,AMG-Lin,Leder,Burmest,Comand",29381.0,46143.0,2.143,Diesel,Schaltgetriebe,5,4/5,Euro6,van,1,C-Klasse,163.0,1.1633333333332607
Mercedes-Benz E 220d Coupe AMG-Line/Pano/Wide/360°/Multibeam,58298.0,12961.0,2.143,Diesel,Automatik,6,4/5,Euro6,van,2,E-Klasse,190.0,1.9133333333332607
Mercedes-Benz GLC 4Matic Coupe` AMG-line+Navi+Schiebedach+Cam.,58298.0,12961.0,2.143,Diesel,Automatik,6,4/5,Euro6,kombi,2,GLC,190.0,1.9133333333332607
Mercedes-Benz CLA 220 Shooting Brake,26990.0,45500.0,1.991,Benzin,Schaltgetriebe,5,4/5,Euro6,limousine,1,CLA,218.0,4.079999999999927
Mercedes-Benz C 220 T-Modell BlueTEC / d Avantgarde,59740.0,4510.0,1.95,Diesel,Automatik,5,4/5,Euro6,suv,2,C-Klasse,190.0,1.746666666666594
Mercedes-Benz C 220 d 4MATIC T Autom. Com LED AHK WR SHZ Assis,58298.0,12961.0,2.143,Diesel,Automatik,6,4/5,Euro6,kombi,2,C-Klasse,190.0,1.9133333333332607
Mercedes-Benz Mercedes-Benz GLE 300d AMG V167 4M 9G 7 Si...,26990.0,45500.0,1.991,Benzin,Schaltgetriebe,5,4/5,Euro6,limousine,1,GLE,218.0,4.079999999999927
Mercedes-Benz Vito Kasten RWD lang AHK Klima Navi 1. Hand,59740.0,4510.0,1.95,Diesel,Automatik,5,4/5,Euro6,suv,2,Vito,190.0,1.746666666666594
Mercedes-Benz C 200 d T Avantgarde Aut. NAV+LED+AHK+17ZO+E6dT,32499.0,45000.0,1.95,Diesel,Automatik,5,4/5,Euro6,kombi,2,C-Klasse,194.0,4.329999999999927
Mercedes-Benz Sofort abholbar Expose Mercdes-Benz V 250 ...,26990.0,107000.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,V-Klasse,204.0,4.496666666666594
Mercedes-Benz C 220 d T AMG-Line Night LED DISTRO NAVI WIDES,21990.0,151251.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,C-Klasse,177.0,3.5799999999999272
"Mercedes-Benz S 500 L""BURMESTER 4D/3D Head Up/Augmented/ Full",19481.0,149719.0,2.143,Diesel,Schaltgetriebe,5,4/5,Euro6,kombi,1,S-Klasse,170.0,3.6633333333332607
Mercedes-Benz S -Klasse Lim. S 400 d 4Matic,19481.0,149719.0,2.143,Diesel,Schaltgetriebe,5,4/5,Euro6,kombi,1,S-Klasse,170.0,3.6633333333332607
Mercedes-Benz GLS 63 AMG 4M*MY22*Burmester*Head Up*PANO*360°,29950.0,36300.0,1.332,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GLS,163.0,2.4133333333332607
Mercedes-Benz CLA 180 Shooting Brake Progressive NAVI+LED+DAB,56489.0,44900.0,1.991,Benzin,Automatik,5,4/5,Euro6d,kombi,2,CLA,306.0,1.5799999999999272
Mercedes-Benz GLC 250 d 4M AMG DIST+STAND+HUD+AIR BAL+LED+360°,20500.0,155000.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,GLC,170.0,4.496666666666594
Mercedes-Benz GLA 200 d 8G-DCT AMG Line Distronic Pano Multib,34980.0,59893.0,2.143,Diesel,Automatik,5,4/5,Euro6,suv,1,GLA,170.0,4.329999999999927
